,advanced_micro,microsoft,apple,palo_alto,salesforce,amazon,meta
NORTHSTAR ASSET MANAGEMENT INC,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Nicollet Investment Management, Inc.",0.0,0.5568214914995703,0.0,0.0,0.0,0.4431785085004296,0.0
"Norman Fields, Gottscho Capital Management, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0
OneAscent Wealth Management LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PHILADELPHIA TRUST CO,0.0,0.5838215566429528,0.4161784433570472,0.0,0.0,0.0,0.0
"PHYSICIANS FINANCIAL SERVICES, INC.",0.0,0.5434745727851834,0.0,0.0,0.0,0.45652542721481665,0.0
PROFESSIONAL ADVISORY SERVICES INC,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PUBLIC EMPLOYEES RETIREMENT ASSOCIATION OF COLORADO,0.0,0.3844184752517803,0.4079656047439722,0.0,0.0,0.20761592000424758,0.0
Pensionfund Sabic,0.0,0.578482384958803,0.421517615041197,0.0,0.0,0.0,0.0
"Plotkin Financial Advisors, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0
ROANOKE ASSET MANAGEMENT CORP/ NY,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ROWLAND & CO INVESTMENT COUNSEL/ADV,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Radnor Capital Management, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Reynders McVeigh Capital Management, LLC",0.0,0.4847792676454814,0.5152207323545186,0.0,0.0,0.0,0.0
S&CO INC,0.0,0.539198455754071,0.460801544245929,0.0,0.0,0.0,0.0
SENTRY INVESTMENT MANAGEMENT LLC,0.0,0.3178133274858636,0.39006150851889815,0.0,0.0,0.2921251639952382,0.0
SHIKIAR ASSET MANAGEMENT INC,0.0,0.4661065028544351,0.0,0.0,0.0,0.5338934971455649,0.0
SIT INVESTMENT ASSOCIATES INC,0.0,0.5035302499175921,0.49646975008240796,0.0,0.0,0.0,0.0
SONATA CAPITAL GROUP INC,0.0,0.29962568684465984,0.25338611228830155,0.0,0.0,0.44698820086703855,0.0
STONEBRIDGE CAPITAL MANAGEMENT INC,0.0,1.0,0.0,0.0,0.0,0.0,0.0
STONERIDGE INVESTMENT PARTNERS LLC,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Scott & Selber, Inc.",0.0,0.6365403098256728,0.0,0.0,0.0,0.36345969017432717,0.0
South Dakota Investment Council,0.0,0.528693616268641,0.471306383731359,0.0,0.0,0.0,0.0
Southland Equity Partners LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Sowa Financial Group, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0
"State of Alaska, Department of Revenue",0.0,0.6012593429242579,0.39874065707574213,0.0,0.0,0.0,0.0
Sutton Wealth Advisors Inc.,0.0,0.2575076663469427,0.7424923336530572,0.0,0.0,0.0,0.0
TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,0.0,0.5298449454565642,0.47015505454343576,0.0,0.0,0.0,0.0
THOMAS STORY & SON LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"THOROUGHBRED FINANCIAL SERVICES, LLC",0.0,0.3327517372316588,0.4976334987549064,0.0,0.0,0.1696147640134348,0.0
TOWER BRIDGE ADVISORS,0.0,0.5385483554084619,0.46145164459153815,0.0,0.0,0.0,0.0
TRAPHAGEN INVESTMENT ADVISORS LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TRUST CO OF OKLAHOMA,0.0,0.42729602984232373,0.5727039701576763,0.0,0.0,0.0,0.0
"TSFG, LLC",0.0,0.0,0.4420825011946547,0.0,0.0,0.5579174988053452,0.0
Te Ahumairangi Investment Management Ltd,0.0,0.5931732640490348,0.40682673595096513,0.0,0.0,0.0,0.0
Thrivent Financial for Lutherans,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Tinicum Inc,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Tower View Investment Management & Research LLC,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Treasurer of the State of North Carolina,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VALICENTI ADVISORY SERVICES INC,0.0,0.31610799206518625,0.28459996498464,0.0,0.0,0.3992920429501738,0.0
VALLEY NATIONAL ADVISERS INC,0.0,0.5394431387821653,0.4605568612178346,0.0,0.0,0.0,0.0
VAUGHAN DAVID INVESTMENTS LLC/IL,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Vestcor Inc,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Vigilant Capital Management, LLC",0.0,0.43523553989638536,0.27308270132246143,0.0,0.0,0.2916817587811532,0.0
"Violich Capital Management, Inc.",0.0,0.6456437327629313,0.35435626723706876,0.0,0.0,0.0,0.0
"Vishria Bird Financial Group, LLC",0.0,0.3815586560188217,0.32986329329624303,0.0,0.0,0.2885780506849352,0.0
WADE G W & INC,0.0,0.5780181510582623,0.42198184894173774,0.0,0.0,0.0,0.0
WEDBUSH SECURITIES INC,0.0,0.2056875123377438,0.5882882608479972,0.0,0.0,0.20602422681425897,0.0
WEST PACES ADVISORS INC.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
WESTWOOD MANAGEMENT CORP /IL/,0.0,0.5896424289143188,0.0,0.0,0.0,0.4103575710856811,0.0
"Wallington Asset Management, LLC",0.0,0.5580722905459556,0.44192770945404436,0.0,0.0,0.0,0.0
"Werlinich Asset Management, LLC",0.592702643055463,0.40729735694453695,0.0,0.0,0.0,0.0,0.0
Wesleyan Assurance Society,0.0,0.7280796165166674,0.2719203834833327,0.0,0.0,0.0,0.0
"Westbourne Investment Advisors, Inc.",0.0,0.4266892057644189,0.5733107942355812,0.0,0.0,0.0,0.0
"Whetstone Capital Advisors, LLC",0.0,0.0,0.0,0.0,0.0,1.0,0.0
White Pine Investment CO,0.0,0.0,1.0,0.0,0.0,0.0,0.0
