,advanced_micro,microsoft,amazon,apple,palo_alto,salesforce,meta,Q
PUBLIC EMPLOYEES RETIREMENT ASSOCIATION OF COLORADO,0.0,0.3401355139381131,0.25757926468700887,0.40228522137487793,0.0,0.0,0.0,0.1266398658612933
Pensionfund Sabic,0.0,0.47297044193480975,0.0,0.5270295580651904,0.0,0.0,0.0,0.14549978313125253
"Plotkin Financial Advisors, LLC",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1706890393243132
ROANOKE ASSET MANAGEMENT CORP/ NY,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12031052693819186
ROWLAND & CO INVESTMENT COUNSEL/ADV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12031052693819186
"Reynders McVeigh Capital Management, LLC",0.0,0.4020778339409794,0.0,0.5979221660590207,0.0,0.0,0.0,0.14549978313125253
S&CO INC,0.0,0.4490199446481073,0.0,0.5509800553518927,0.0,0.0,0.0,0.14549978313125253
SENTRY INVESTMENT MANAGEMENT LLC,0.0,0.20574748255012557,0.4268737671699764,0.3673787502798981,0.0,0.0,0.0,0.1266398658612933
SHIKIAR ASSET MANAGEMENT INC,0.0,0.3785897725773061,0.6214102274226939,0.0,0.0,0.0,0.0,0.10461527912978336
SIT INVESTMENT ASSOCIATES INC,0.0,0.5239346053438646,0.0,0.47606539465613534,0.0,0.0,0.0,0.14549978313125253
SONATA CAPITAL GROUP INC,0.0,0.31239050748999964,0.41292625043639264,0.2746832420736077,0.0,0.0,0.0,0.1266398658612933
STONEBRIDGE CAPITAL MANAGEMENT INC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12031052693819186
STONERIDGE INVESTMENT PARTNERS LLC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12031052693819186
"Scott & Selber, Inc.",0.0,0.56024846937245,0.43975153062755007,0.0,0.0,0.0,0.0,0.10461527912978336
South Dakota Investment Council,0.0,0.4330647167901075,0.17159888690249975,0.39533639630739276,0.0,0.0,0.0,0.1266398658612933
Southland Equity Partners LLC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08413012794117666
"Sowa Financial Group, Inc.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1706890393243132
"State of Alaska, Department of Revenue",0.0,0.3845964007506754,0.24705770583597214,0.3683458934133524,0.0,0.0,0.0,0.1266398658612933
Sutton Wealth Advisors Inc.,0.0,0.25425307306056116,0.0,0.7457469269394388,0.0,0.0,0.0,0.14549978313125253
TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1266398658612933
THOMAS STORY & SON LLC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1706890393243132
"THOROUGHBRED FINANCIAL SERVICES, LLC",0.0,0.3122022807600082,0.20089353596140333,0.4869041832785884,0.0,0.0,0.0,0.1266398658612933
TOWER BRIDGE ADVISORS,0.0,0.5568572562610111,0.0,0.4431427437389889,0.0,0.0,0.0,0.14549978313125253
TRAPHAGEN INVESTMENT ADVISORS LLC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1706890393243132
TRUST CO OF OKLAHOMA,0.0,0.4223726235029368,0.0,0.5776273764970631,0.0,0.0,0.0,0.14549978313125253
"TSFG, LLC",0.0,0.0,0.510372901620822,0.48962709837917806,0.0,0.0,0.0,0.12980453532284403
Te Ahumairangi Investment Management Ltd,0.0,0.5533376780889926,0.0,0.44666232191100746,0.0,0.0,0.0,0.09964552742277799
Thrivent Financial for Lutherans,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12031052693819186
Tower View Investment Management & Research LLC,0.0,0.5820335465469114,0.4179664534530887,0.0,0.0,0.0,0.0,0.10461527912978336
Treasurer of the State of North Carolina,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12031052693819186
VALICENTI ADVISORY SERVICES INC,0.0,0.2740788919872815,0.40704586587732433,0.31887524213539414,0.0,0.0,0.0,0.1266398658612933
VALLEY NATIONAL ADVISERS INC,0.0,0.457043775361301,0.0,0.542956224638699,0.0,0.0,0.0,0.14549978313125253
VAUGHAN DAVID INVESTMENTS LLC/IL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12031052693819186
Vestcor Inc,0.0,0.6173657890518057,0.0,0.3826342109481943,0.0,0.0,0.0,0.14549978313125253
"Vigilant Capital Management, LLC",0.0,0.36563960243173743,0.315230314208952,0.3191300833593105,0.0,0.0,0.0,0.1266398658612933
"Violich Capital Management, Inc.",0.0,0.5730862288429479,0.0,0.42691377115705204,0.0,0.0,0.0,0.14549978313125253
"Vishria Bird Financial Group, LLC",0.0,0.273441181325442,0.28253909051295506,0.444019728161603,0.0,0.0,0.0,0.1266398658612933
WADE G W & INC,0.0,0.4270163842842944,0.0,0.5729836157157057,0.0,0.0,0.0,0.14549978313125253
WEDBUSH SECURITIES INC,0.0,0.22040051225802657,0.21456132512701462,0.565038162614959,0.0,0.0,0.0,0.1266398658612933
WEST PACES ADVISORS INC.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1706890393243132
WESTWOOD MANAGEMENT CORP /IL/,0.0,0.5270033042570872,0.47299669574291286,0.0,0.0,0.0,0.0,0.10461527912978336
"Wallington Asset Management, LLC",0.0,0.5479901536463969,0.0,0.45200984635360314,0.0,0.0,0.0,0.14549978313125253
"Werlinich Asset Management, LLC",0.5544885397693823,0.44551146023061766,0.0,0.0,0.0,0.0,0.0,0.1799938187788303
Wesleyan Assurance Society,0.0,0.6635178193590564,0.0,0.33648218064094354,0.0,0.0,0.0,0.14549978313125253
"Westbourne Investment Advisors, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14549978313125253
"Whetstone Capital Advisors, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08892003132137487
White Pine Investment CO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1706890393243132
