,amazon,apple,microsoft,palo_alto,salesforce,meta,advanced_micro,google,Q
PUBLIC EMPLOYEES RETIREMENT ASSOCIATION OF COLORADO,0.17588286347644216,0.4662070527570569,0.3579100837665009,0.0,0.0,0.0,0.0,0.0,0.05986843044897369
Pensionfund Sabic,0.0,0.5656539895403118,0.4343460104596882,0.0,0.0,0.0,0.0,0.0,0.07401939855033489
"Plotkin Financial Advisors, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09757864617883885
ROANOKE ASSET MANAGEMENT CORP/ NY,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.050460150921830926
ROWLAND & CO INVESTMENT COUNSEL/ADV,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.050460150921830926
"Reynders McVeigh Capital Management, LLC",0.0,0.6377587352515282,0.3622412647484719,0.0,0.0,0.0,0.0,0.0,0.07401939855033489
"Riverview Capital Advisers, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07301227116060123
S&CO INC,0.0,0.606657637805909,0.3933423621940911,0.0,0.0,0.0,0.0,0.0,0.07401939855033489
SENTRY INVESTMENT MANAGEMENT LLC,0.12813457747190193,0.420067704964106,0.45179771756399206,0.0,0.0,0.0,0.0,0.0,0.05986843044897369
SILVERLAKE WEALTH MANAGEMENT LLC,0.0,0.4092338025125983,0.5907661974874017,0.0,0.0,0.0,0.0,0.0,-0.09276816547180623
SIT INVESTMENT ASSOCIATES INC,0.0,0.557196547236919,0.4428034527630809,0.0,0.0,0.0,0.0,0.0,0.07401939855033489
SONATA CAPITAL GROUP INC,0.2676735617415511,0.35078266395268864,0.38154377430576025,0.0,0.0,0.0,0.0,0.0,0.05986843044897369
STONEBRIDGE CAPITAL MANAGEMENT INC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.050460150921830926
STONERIDGE INVESTMENT PARTNERS LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.050460150921830926
"Scott & Selber, Inc.",0.2640692782943979,0.0,0.46112747547384725,0.0,0.0,0.0,0.0,0.2748032462317548,0.0476888466798998
South Dakota Investment Council,0.19734983778490411,0.3829194627455044,0.41973069946959146,0.0,0.0,0.0,0.0,0.0,0.05986843044897369
Southland Equity Partners LLC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016783385468986136
"Sowa Financial Group, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09757864617883885
"State of Alaska, Department of Revenue",0.1465964752168787,0.4945159609996364,0.35888756378348485,0.0,0.0,0.0,0.0,0.0,0.05986843044897369
Sutton Wealth Advisors Inc.,0.0,0.7626062795873125,0.23739372041268758,0.0,0.0,0.0,0.0,0.0,0.07401939855033489
"TAGStone Capital, Inc.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10225842559570371
TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,0.22790269918319916,0.37270776342748974,0.3993895373893111,0.0,0.0,0.0,0.0,0.0,0.05986843044897369
THOMAS STORY & SON LLC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09757864617883885
"THOROUGHBRED FINANCIAL SERVICES, LLC",0.16945288999690547,0.5041193995625772,0.3264277104405173,0.0,0.0,0.0,0.0,0.0,0.05986843044897369
TOWER BRIDGE ADVISORS,0.0,0.4722051773921497,0.5277948226078504,0.0,0.0,0.0,0.0,0.0,0.07401939855033489
TRUST CO OF OKLAHOMA,0.0,0.5984885227000791,0.40151147729992087,0.0,0.0,0.0,0.0,0.0,0.07401939855033489
"TSFG, LLC",0.3660276728074534,0.6339723271925466,0.0,0.0,0.0,0.0,0.0,0.0,0.06457257021254507
Te Ahumairangi Investment Management Ltd,0.0,0.3872968199481191,0.612703180051881,0.0,0.0,0.0,0.0,0.0,0.027490392587308912
Thrivent Financial for Lutherans,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.050460150921830926
Tower View Investment Management & Research LLC,0.3321488863087726,0.0,0.6678511136912274,0.0,0.0,0.0,0.0,0.0,0.04101332258404111
Treasurer of the State of North Carolina,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.050460150921830926
"Ulland Investment Advisors, LLC",0.061669284669881155,0.9383307153301188,0.0,0.0,0.0,0.0,0.0,0.0,-0.08763534837815247
VALICENTI ADVISORY SERVICES INC,0.274345772556656,0.47290560810727755,0.25274861933606646,0.0,0.0,0.0,0.0,0.0,0.05986843044897369
VALLEY NATIONAL ADVISERS INC,0.0,0.6515177055017752,0.3484822944982247,0.0,0.0,0.0,0.0,0.0,0.07401939855033489
Vestcor Inc,0.0,0.4672805589154946,0.5327194410845054,0.0,0.0,0.0,0.0,0.0,0.07401939855033489
"Vigilant Capital Management, LLC",0.23211298465533184,0.39279382815620123,0.3750931871884669,0.0,0.0,0.0,0.0,0.0,0.05986843044897369
"Violich Capital Management, Inc.",0.0,0.4772682851526465,0.5227317148473535,0.0,0.0,0.0,0.0,0.0,0.07401939855033489
"Vishria Bird Financial Group, LLC",0.18882249126670744,0.5586204861398393,0.2525570225934534,0.0,0.0,0.0,0.0,0.0,0.05986843044897369
WADE G W & INC,0.0,0.6770726257954867,0.3229273742045133,0.0,0.0,0.0,0.0,0.0,0.07401939855033489
WEDBUSH SECURITIES INC,0.18949234922987218,0.581997959942851,0.22850969082727687,0.0,0.0,0.0,0.0,0.0,0.05986843044897369
WESTWOOD MANAGEMENT CORP /IL/,0.3514564853091095,0.0,0.6485435146908904,0.0,0.0,0.0,0.0,0.0,0.04101332258404111
WFA Asset Management Corp,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07301227116060123
"Wallington Asset Management, LLC",0.0,0.4482333969460221,0.5517666030539778,0.0,0.0,0.0,0.0,0.0,0.07401939855033489
"Wayfinding Financial, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.11252405978301123
"Werlinich Asset Management, LLC",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0036224127542454445
Wesleyan Assurance Society,0.0,0.4483837831285013,0.5516162168714988,0.0,0.0,0.0,0.0,0.0,0.07401939855033489
"Westbourne Investment Advisors, Inc.",0.0,0.508647621552837,0.41477075837007116,0.0,0.0,0.07658162007709182,0.0,0.0,-0.036465136904755384
"Whetstone Capital Advisors, LLC",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0315664942462513
